power	voltage	current	rpm	windSpeed	pitchAngle	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink	timestamp
293.738	1294	227	2156	76	200	230	101300000	1000	0	0	-1	150	289239156
279.713	1289	217	2160	76	200	230	101300000	1000	0	0	-1	150	289251716
296.361	1341	221	2153	76	200	230	101300000	1000	0	0	-1	150	289264276
281.415	1285	219	2163	76	200	230	101300000	1000	0	0	-1	150	289276836
302.834	1358	223	2157	76	200	230	101300000	1000	0	0	-1	150	289289396
282.528	1308	216	2163	76	200	230	101300000	1000	0	0	-1	150	289301956
295.698	1326	223	2159	76	200	230	101300000	1000	0	0	-1	150	289314516
275.334	1263	218	2154	76	200	230	101300000	1000	0	0	-1	150	289327076
293.022	1314	223	2154	76	200	230	101300000	1000	0	0	-1	150	289339636
274.68	1260	218	2160	76	200	230	101300000	1000	0	0	-1	150	289352196
282.095	1265	223	2163	76	200	230	101300000	1000	0	0	-1	150	289364756
278.386	1277	218	2151	76	200	230	101300000	1000	0	0	-1	150	289377316
294.583	1321	223	2162	76	200	230	101300000	1000	0	0	-1	150	289389876
282.968	1304	217	2156	76	200	230	101300000	1000	0	0	-1	150	289402436
292.825	1325	221	2162	76	200	230	101300000	1000	0	0	-1	150	289414996
294.117	1343	219	2156	76	200	230	101300000	1000	0	0	-1	150	289427556
286	1300	220	2163	76	200	230	101300000	1000	0	0	-1	150	289440116
281.449	1297	217	2156	76	200	230	101300000	1000	0	0	-1	150	289452676
281.333	1273	221	2157	76	200	230	101300000	1000	0	0	-1	150	289465236
278.64	1290	216	2167	76	200	230	101300000	1000	0	0	-1	150	289477796
279.276	1258	222	2159	76	200	230	101300000	1000	0	0	-1	150	289490356
276.48	1280	216	2160	76	200	230	101300000	1000	0	0	-1	150	289502916
286.272	1278	224	2154	76	200	230	101300000	1000	0	0	-1	150	289515476
284.272	1304	218	2156	76	200	230	101300000	1000	0	0	-1	150	289528036
289.856	1294	224	2157	76	200	230	101300000	1000	0	0	-1	150	289540596
289.286	1327	218	2165	76	200	230	101300000	1000	0	0	-1	150	289553156
292.576	1312	223	2159	76	200	230	101300000	1000	0	0	-1	150	289565716
287.978	1321	218	2165	76	200	230	101300000	1000	0	0	-1	150	289578276
279.642	1254	223	2151	76	200	230	101300000	1000	0	0	-1	150	289590836
286.671	1309	219	2162	76	200	230	101300000	1000	0	0	-1	150	289603396
